# Oś czasu CAN — dosłowne linie z logów terminala z 2026-04-10 (7 plików PQ35_TERMINAL_LOG_*.txt).
# Format: opóźnienie_ms przed wysłaniem ramki | ramka (jak z bridge).
# Opóźnienia z różnic timestampów w obrębie segmentu, skala 0.35, clamp 2–45 ms; między plikami — cięte (nowy segment).

# --- 17:44 — postój, magistrala bez prędkości (brak 0x351/0x359 w tym fragmencie) — PQ35_TERMINAL_LOG_2026-04-10_17-44-59.txt linie 6-95 ---
5|0x555: E9 52 7E 83 66 00 00 77
2|0x65F: 00 00 00 00 00 57 56 57
2|0x35B: 00 54 0F 96 08 19 C2 27
20|0x42B: 0B 02 00 40 00 00
3|0x151: 00 F0 D8 28
3|0x3C3: 88 82 00 00 80 80 00 75
5|0x555: E9 54 7E 81 66 00 00 77
2|0x35B: 00 38 0F 96 08 19 C2 27
2|0x42B: 0B 01 00 00 00 00
8|0x571: BA 00 00 00 00 00
17|0x151: 00 F0 28 D8
2|0x3C3: 88 82 00 00 80 20 00 D5
6|0x555: E9 53 7E 02 66 00 00 77

# --- 17:49 — przyspieszanie / jazda (0x351, 0x359, pełny zestaw) — PQ35_TERMINAL_LOG_2026-04-10_17-49-37.txt linie 7-200 ---
8|0x35B: 00 38 1C AA 08 19 C2 D6
9|0x42B: 0B 01 00 00 00 00
2|0x65F: 02 57 35 33 31 31 33 35
4|0x351: 00 B4 40 00 00 00 00 00
4|0x359: 18 C7 40 67 0E 2B 00 00
4|0x151: 00 F0 D8 28
2|0x3C3: 64 80 54 81 80 30 00 16
2|0x555: E8 38 7E 01 7B 00 00 81
4|0x35B: 00 28 1C AA 08 19 C2 D6
19|0x351: 00 D4 40 00 00 00 00 00
4|0x359: 18 A7 40 CC 0E 2B 00 00
5|0x42B: 0B 02 00 40 00 00
2|0x151: 00 F0 28 D8
2|0x3C3: 44 80 00 00 80 D0 00 6B
2|0x555: E8 38 7E 8A 7B 00 00 81
3|0x35B: 00 1C 1C AA 08 19 C2 D7
7|0x42B: 0B 01 00 00 00 00
7|0x65F: 00 00 00 00 00 57 56 57
2|0x351: 00 96 40 00 00 00 00 00
12|0x359: 18 B1 40 31 0F 2B 00 00
2|0x151: 00 F0 78 88
2|0x3C3: 44 80 00 00 80 70 00 CB
6|0x555: E8 39 7E 02 7B 00 00 81
6|0x35B: 00 04 1C AA 08 19 C2 D7
9|0x351: 00 B6 40 00 00 00 00 00
4|0x42B: 0B 02 00 40 00 00
3|0x359: 18 B7 40 96 0F 2B 00 00
5|0x151: 00 F0 C8 38
2|0x3C3: 64 80 54 81 80 10 00 36
2|0x555: E8 3A 7E 8E 7B 00 00 81
2|0x65D: BE 6A 78 04 00 30 E3 03
3|0x35B: 00 1C 1C AA 08 19 C2 D7
6|0x42B: 0B 01 00 00 00 00
9|0x65F: 01 5A 5A 5A 31 4B 5A 36
2|0x351: 00 BA 40 00 00 00 00 00
6|0x359: 18 9D 40 FB 0F 2B 00 00
5|0x151: 00 F0 18 E8
2|0x3C3: 44 80 00 00 80 B0 00 8B
2|0x555: E8 3A 7E 81 7B 00 00 81
8|0x35B: 00 F8 1B AB 08 19 C2 D7
15|0x351: 00 B0 40 00 00 00 00 00
2|0x42B: 0B 02 00 40 00 00
3|0x359: 18 AD 40 60 08 2B 00 00
6|0x151: 00 F0 68 98
2|0x3C3: 20 80 54 01 80 50 00 BA
2|0x527: 10 8F 40 60 7A 6F 6F 00
4|0x555: E8 3A 7E 87 7B 00 00 81
2|0x35B: 00 1C 1C AB 08 19 C2 D8
2|0x42B: 0B 01 00 00 00 00
12|0x65F: 02 57 35 33 31 31 33 35
2|0x351: 00 7C 40 00 00 00 00 00
5|0x359: 18 7D 40 C5 08 2B 00 00
2|0x151: 00 F0 B8 48
4|0x3C3: 20 80 00 00 80 F0 00 6F
6|0x571: BA 00 00 00 00 00
2|0x555: E8 39 7E 82 7B 00 00 81
2|0x35B: 00 08 1C AB 08 19 C2 D8
12|0x42B: 0B 02 00 40 00 00
3|0x351: 00 82 40 00 00 00 00 00
5|0x359: 18 6D 40 29 09 2B 00 00
5|0x151: 00 F0 08 F8
2|0x3C3: 20 80 00 00 80 90 00 CF
5|0x555: E8 3A 7E 89 7B 00 00 81
2|0x42B: 0B 01 00 00 00 00
2|0x35B: 00 04 1C AB 08 19 C2 D8
12|0x65F: 00 00 00 00 00 57 56 57
3|0x351: 00 66 40 00 00 00 00 00
9|0x359: 18 81 40 8E 09 2B 00 00
2|0x151: 00 F0 58 A8
2|0x3C3: 00 00 54 01 80 30 00 7A
6|0x555: E8 3A 7E 02 7C 00 00 81
14|0x42B: 0B 02 00 40 00 00
2|0x351: 00 62 40 00 00 00 00 00
7|0x359: 18 6D 40 F3 09 2B 00 00
7|0x151: 00 F0 A8 58
2|0x3C3: 00 00 00 00 80 D0 00 2F
6|0x42B: 0B 01 00 00 00 00
2|0x527: 10 6D 40 60 7A 6F 6F 00
2|0x555: E8 38 7E 8E 7C 00 00 81
2|0x35B: 00 F0 1B AB 08 19 C2 D9
10|0x65F: 01 5A 5A 5A 31 4B 5A 36
3|0x351: 00 70 40 00 00 00 00 00
10|0x359: 18 49 40 57 0A 2B 00 00
2|0x151: 00 F0 F8 08
2|0x3C3: 00 00 00 00 80 60 00 9F
3|0x555: E8 38 7E 01 7C 00 00 81
5|0x35B: 00 08 1C AB 08 19 C2 D9
7|0x42B: 0B 02 00 40 00 00
8|0x351: 00 5E 40 00 00 00 00 00
5|0x359: 18 4D 40 BC 0A 2B 00 00
3|0x42B: 0B 01 00 00 00 00
3|0x151: 00 F0 48 B8
4|0x3C3: 20 80 00 00 80 00 00 5F
2|0x527: 10 67 40 60 7A 6F 6F 00
2|0x555: E8 38 7E 88 7C 00 00 81
3|0x35B: 00 F0 1B AB 08 19 C2 D9
10|0x65F: 02 57 35 33 31 31 33 35
2|0x351: 00 3E 40 00 00 00 00 00
7|0x359: 18 4F 40 20 0B 2B 00 00
5|0x151: 00 F0 98 68
2|0x3C3: 20 80 00 00 80 A0 00 BF
5|0x555: E8 39 7E 05 7C 00 00 81
2|0x35B: 00 04 1C AB 08 19 C2 D9
4|0x42B: 0B 02 00 40 00 00
9|0x351: 00 4C 40 00 00 00 00 00
7|0x42B: 0B 01 00 00 00 00
2|0x359: 18 3F 40 84 0B 2B 00 00
4|0x151: 00 F0 E8 18
2|0x3C3: 44 80 54 81 80 40 00 26
2|0x527: 10 29 40 60 7A 6F 6F 00
4|0x555: E8 39 7E 8B 7C 00 00 81
2|0x65D: BE 6A 78 04 00 30 63 04
2|0x35B: 00 E0 1B AB 08 19 C2 DA
12|0x65F: 00 00 00 00 00 57 56 57
2|0x351: 00 0C 40 00 00 00 00 00
7|0x359: 18 23 40 E9 0B 2B 00 00
2|0x151: 00 F0 38 C8
4|0x3C3: 64 80 54 81 80 E0 00 66
2|0x555: E8 3A 7E 09 7C 00 00 81
5|0x35B: 00 E4 1B AB 08 19 C2 DA
2|0x42B: 0B 02 00 40 00 00
16|0x351: 00 28 40 00 00 00 00 00
2|0x42B: 0B 01 00 00 00 00
8|0x359: 18 29 40 4D 0C 2B 00 00
2|0x151: 00 F0 88 78
2|0x3C3: 64 80 00 00 80 80 00 9B
6|0x555: E8 39 7E 8C 7B 00 00 81
6|0x35B: 00 D4 1B AB 08 19 C2 DA
10|0x65F: 01 5A 5A 5A 31 4B 5A 36
2|0x351: 00 08 40 00 00 00 00 00
7|0x359: 18 07 40 B1 0C 2B 00 00
5|0x151: 00 F0 D8 28
5|0x3C3: 64 80 00 00 80 20 00 FB
2|0x555: E8 39 7E 04 7B 00 00 81
2|0x42B: 0B 02 00 40 00 00
4|0x35B: 00 E0 1B AB 08 19 C2 DA
10|0x42B: 0B 01 00 00 00 00
2|0x351: 00 FE 3F 00 00 00 00 00
7|0x359: 18 F3 3F 15 0D 2B 00 00
6|0x151: 00 F0 28 D8
2|0x3C3: 64 80 00 00 80 C0 00 5B
2|0x527: 10 F3 3F 60 7A 6F 6F 00
4|0x555: E8 3A 7E 82 7B 00 00 81
2|0x35B: 00 CC 1B AB 08 19 C2 DB
11|0x65F: 02 57 35 33 31 31 33 35
2|0x351: 00 C8 3F 00 00 00 00 00
7|0x359: 18 DD 3F 79 0D 2B 00 00
5|0x151: 00 F0 78 88
2|0x3C3: 64 80 00 00 80 60 00 BB
2|0x42B: 0B 02 00 40 00 00
4|0x555: E8 3B 7E 0B 7B 00 00 81
2|0x35B: 00 E0 1B AB 08 19 C2 DB
11|0x42B: 0B 01 00 00 00 00
4|0x351: 00 EC 3F 00 00 00 00 00
7|0x359: 18 C7 3F DD 0D 2B 00 00
5|0x151: 00 F0 C8 38
2|0x3C3: 64 80 00 00 80 00 00 1B
4|0x527: 10 C3 3F 60 7A 6F 6F 00
2|0x555: E8 3B 7E 84 7B 00 00 81
2|0x35B: 00 B4 1B AB 08 19 C2 DB
12|0x65F: 00 00 00 00 00 57 56 57
2|0x351: 00 C0 3F 00 00 00 00 00
9|0x359: 18 D1 3F 40 0E 2B 00 00
2|0x42B: 0B 02 00 40 00 00
2|0x151: 00 F0 18 E8
2|0x3C3: 44 80 00 00 80 A0 00 9B
4|0x555: E8 3B 7E 0A 7A 00 00 81
2|0x35B: 00 C4 1B AB 08 19 C2 DB
8|0x42B: 0B 01 00 00 00 00
7|0x351: 00 B6 3F 00 00 00 00 00
6|0x359: 18 CF 3F A4 0E 2B 00 00
5|0x151: 00 F0 68 98
2|0x3C3: 44 80 00 00 80 40 00 FB
2|0x527: 10 C9 3F 60 7A 6F 6F 00
3|0x555: E8 3B 7E 88 7A 00 00 81
2|0x35B: 00 98 1B AB 08 19 C2 DB
11|0x65F: 01 5A 5A 5A 31 4B 5A 36
8|0x351: 00 98 3F 00 00 00 00 00
2|0x42B: 0B 02 00 40 00 00
6|0x359: 18 A3 3F 08 0F 2B 00 00
2|0x151: 00 F0 B8 48
2|0x3C3: 44 80 00 00 80 E0 00 5B
5|0x555: E8 3A 7E 00 7A 00 00 81
2|0x35B: 00 B4 1B AB 08 19 C2 DC
8|0x42B: 0B 01 00 00 00 00
7|0x351: 00 AC 3F 00 00 00 00 00
10|0x359: 18 91 3F 6B 0F 2B 00 00
2|0x151: 00 F0 08 F8
7|0x3C3: 44 80 00 00 80 80 00 BB
2|0x527: 10 99 3F 60 7A 6F 6F 00
2|0x555: E8 3A 7E 05 79 00 00 81
2|0x65D: BE 6A 78 04 00 30 E3 04
2|0x35B: 00 98 1B AB 08 19 C2 DC
10|0x65F: 02 57 35 33 31 31 33 35

# --- 20:01 — trasa, inny profil prędkości — PQ35_TERMINAL_LOG_2026-04-10_18-01-51.txt linie 6-140 ---
8|0x359: 18 AD 39 19 0C 2B 00 00
8|0x151: 00 F0 A8 58
2|0x3C3: 10 81 00 00 80 80 00 EE
6|0x555: E8 39 7E 04 85 00 00 94
2|0x35B: 00 34 20 B9 08 1E C2 D8
8|0x42B: 0B 02 00 40 00 00
8|0x351: 00 9E 39 00 00 00 00 00
2|0x359: 18 8B 39 73 0C 2B 00 00
4|0x65F: 01 5A 5A 5A 31 4B 5A 36
2|0x151: 00 F0 F8 08
2|0x3C3: F0 80 54 01 80 20 00 1A
4|0x42B: 0B 01 00 00 00 00
2|0x527: 10 8D 39 60 7A 6D 6D 00
6|0x555: E8 39 7E 0B 85 00 00 94
2|0x65D: BF 76 78 04 00 40 03 0B
2|0x35B: 00 50 20 B9 08 1E C2 D9
9|0x351: 00 9C 39 00 00 00 00 00
8|0x359: 18 91 39 CD 0C 2B 00 00
8|0x151: 00 F0 48 B8
2|0x3C3: CC 80 54 01 80 C0 00 9E
2|0x555: E8 39 7E 83 85 00 00 94
4|0x35B: 00 4C 20 B9 08 1E C2 D9
9|0x42B: 0B 02 00 40 00 00
4|0x351: 00 BA 39 00 00 00 00 00
6|0x359: 18 B3 39 26 0D 2B 00 00
2|0x571: BC 00 00 00 00 00
2|0x65F: 02 57 35 33 31 31 33 35
2|0x42B: 0B 01 00 00 00 00
2|0x151: 00 F0 98 68
4|0x3C3: A8 80 54 01 80 60 00 22
2|0x527: 10 95 39 60 7A 6D 6D 00
2|0x555: E8 3A 7E 06 85 00 00 94
4|0x35B: 00 38 20 B9 08 1E C2 DA
13|0x351: 00 A0 39 00 00 00 00 00
14|0x359: 18 AD 39 80 0D 2B 00 00
2|0x151: 00 F0 E8 18
2|0x3C3: A8 80 00 00 80 00 00 D7
6|0x555: E8 39 7E 01 85 00 00 94
2|0x35B: 00 58 20 B9 08 1E C2 DA
6|0x42B: 0B 02 00 40 00 00
5|0x351: 00 DA 39 00 00 00 00 00
6|0x42B: 0B 01 00 00 00 00
2|0x359: 18 BB 39 DB 0D 2B 00 00
4|0x65F: 00 00 00 00 00 57 56 57
2|0x151: 00 F0 38 C8
2|0x3C3: A8 80 00 00 80 A0 00 37
2|0x527: 10 AD 39 60 7A 6D 6D 00
2|0x555: E8 38 7E 03 84 00 00 94
5|0x35B: 00 6C 20 B9 08 1E C2 DA
14|0x351: 00 D2 39 00 00 00 00 00
7|0x359: 18 CF 39 35 0E 2B 00 00
7|0x151: 00 F0 88 78
2|0x3C3: A8 80 00 00 80 40 00 97
5|0x555: E8 39 7E 89 84 00 00 94
2|0x35B: 00 68 20 B9 08 1E C2 DB
2|0x42B: 0B 02 00 40 00 00
11|0x351: 00 B4 39 00 00 00 00 00
3|0x42B: 0B 01 00 00 00 00
5|0x359: 18 CF 39 8F 0E 2B 00 00
9|0x65F: 01 5A 5A 5A 31 4B 5A 36
5|0x151: 00 F0 D8 28
2|0x3C3: A8 80 00 00 80 E0 00 F7
